"sub","cond","CPNum","choice","rt","xAr","xA","pA","xBr","xB","pB","swap","layout","posXY","posXP","trialNum","layT","xAaf1","xBaf1","xAaf2","xBaf2","xAaf_m","xBaf_m","betwP","betwO","withA","withB","fin_fix","fin_fix_o","fix_m_pa","fix_m_pb","fix_m_qa","fix_m_qb","fix_m_xa","fix_m_xb","fix_m_ya","fix_m_yb","dwell_pa","dwell_pb","dwell_qa","dwell_qb","dwell_xa","dwell_xb","dwell_ya","dwell_yb","fix_n_pa","fix_n_pb","fix_n_qa","fix_n_qb","fix_n_xa","fix_n_xb","fix_n_ya","fix_n_yb"
1,"poor",0,1,16.3119433941,4,1,0.032,7,23,0.018,1,2,1,1,20,4,5,7,5,10,5,8.5,5,1,19,7,"pa","A",241.493374995887,301.634999997914,226.504199999571,0,192.454166668157,304.225800001621,636.580000000695,255.372000008821,1931.9469999671,1809.80999998748,1132.52099999785,0,1154.72500000894,1521.12900000811,3819.48000000417,255.372000008821,8,6,5,0,6,5,6,1
1,"poor",1,1,4.57394491458,11,14,0.056,17,45,0.041,1,1,1,0,51,2,10,15,5,60,7.5,37.5,1,3,1,3,"xa","A",199.856000006199,122.134999990463,0,255.37199999392,336.795333335797,410.815333336592,0,0,199.856000006199,122.134999990463,0,255.37199999392,1010.38600000739,1232.44600000978,0,0,1,1,0,1,3,3,0,0
1,"poor",2,0,5.81537362692,13,28,0.028,6,25,0.036,0,1,1,1,53,4,10,5,6,20,8,12.5,1,3,3,5,"pb","B",172.098500005901,263.69924999401,0,0,384.908666665355,281.279666667183,244.269000008702,55.5160000026226,344.197000011802,1054.79699997604,0,0,1154.72599999607,843.83900000155,244.269000008702,55.5160000026226,2,4,0,0,3,3,1,1
1,"poor",3,1,4.42881761279,4,1,0.024,6,25,0.013,1,1,0,1,2,3,5,5,5,20,5,12.5,0,2,3,1,"qb","B",166.548000007868,0,433.022000014782,166.546000003815,425.62033333381,338.64699999243,0,0,166.548000007868,0,433.022000014782,166.546000003815,1276.86100000143,677.29399998486,0,0,1,0,1,1,3,2,0,0
1,"poor",4,0,8.25662385965,1,0,0.041,3,10,0.021,1,1,1,0,38,2,5,5,10,15,7.5,10,2,8,5,5,"xb","B",144.339500002563,222.063500002027,111.031000003219,172.098999992013,306.44619999826,266.47500000149,166.547499999404,266.474000006914,288.679000005126,444.127000004053,222.062000006437,344.197999984026,1532.2309999913,1598.85000000894,333.094999998808,266.474000006914,2,2,2,2,5,6,2,1
1,"poor",5,0,3.59693143635,13,28,0.03,16,17,0.022,1,1,1,0,64,2,10,15,6,10,8,12.5,1,2,1,2,"pb","B",277.577999994159,216.51099999994,0,0,277.578500002623,666.188000008464,0,0,277.577999994159,433.021999999881,0,0,555.157000005245,1332.37600001693,0,0,1,2,0,0,2,2,0,0
1,"poor",6,0,5.28798523624,8,13,0.034,3,10,0.067,0,1,1,1,57,4,8,5,15,15,11.5,10,2,2,3,2,"pb","B",177.650499999523,251.670999998848,344.195000007749,0,466.332000002265,488.536500006914,144.340999990702,0,355.300999999046,755.012999996543,344.195000007749,0,932.66400000453,977.073000013828,144.340999990702,0,2,3,1,0,2,2,1,0
1,"poor",7,1,6.44143087338,12,7,0.034,9,32,0.037,0,1,1,1,22,4,10,10,70,40,40,25,2,4,3,3,"pb","B",251.670999998848,284.980333333214,0,0,466.331666668256,229.465333332618,316.439499996603,133.238000005484,755.012999996543,854.940999999642,0,0,1398.99500000477,688.395999997854,632.878999993205,266.476000010967,3,3,0,0,3,3,2,2
1,"poor",8,0,11.0905718883,8,13,0.014,7,23,0.022,0,2,1,0,41,2,8,7,15,10,11.5,8.5,1,5,12,3,"xb","B",210.959199997783,233.166333332658,149.891999997199,0,383.67533333434,255.37160000205,166.548000007868,0,1054.79599998891,699.498999997973,299.783999994397,0,3453.07800000906,1276.85800001025,166.548000007868,0,5,3,2,0,9,5,1,0
1,"poor",9,0,6.93038381149,15,40,0.066,7,23,0.115,0,2,1,1,48,4,10,7,8,10,9,8.5,4,1,9,5,"pb","B",164.696499998371,202.076800003648,0,0,302.006000000238,214.660666664441,111.030999988317,0,988.178999990225,1010.38400001824,0,0,1510.03000000119,643.981999993324,111.030999988317,0,6,5,0,0,5,3,1,0
